,trade_id,signal_time,entry_fill_time,exit_time,type,position,entry,sl,tp,exit_price,result,highest_point,lowest_point,rr_ratio,pnl,pnl_points,lot_size,initial_balance_for_trade,balance_after_trade
114,115,2024-12-26 12:05:00+00:00,2024-12-26 12:10:00+00:00,,FVG_bullish,buy,21672.93,21647.91,21747.99,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
115,116,2024-12-26 18:45:00+00:00,2024-12-26 18:50:00+00:00,,FVG_bearish,sell,21785.635,21805.32,21726.58,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
116,117,2024-12-27 11:55:00+00:00,2024-12-27 12:00:00+00:00,,FVG_bullish,buy,21687.33,21677.56,21716.64,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
117,118,2024-12-27 17:05:00+00:00,2024-12-27 17:10:00+00:00,,FVG_bullish,buy,21445.335,21399.06857,21584.13429,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
118,119,2024-12-30 15:40:00+00:00,2024-12-30 15:45:00+00:00,,FVG_bullish,buy,21215.38,21178.82429,21325.04714,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
119,120,2024-12-31 12:40:00+00:00,2024-12-31 12:45:00+00:00,,FVG_bearish,sell,21270.525,21284.30286,21229.19143,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
120,121,2024-12-31 18:05:00+00:00,2024-12-31 18:10:00+00:00,,FVG_bullish,buy,21157.8,21107.36,21309.12,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
121,122,2024-12-31 22:55:00+00:00,2024-12-31 23:00:00+00:00,,FVG_bullish,buy,21030.97,20985.63,21166.99,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
122,123,2025-01-02 08:20:00+00:00,2025-01-02 08:25:00+00:00,,FVG_bearish,sell,21164.855,21175.31571,21133.47286,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
123,124,2025-01-02 17:25:00+00:00,2025-01-02 17:30:00+00:00,,FVG_bullish,buy,21137.995,21073.46429,21331.58714,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
124,125,2025-01-03 03:55:00+00:00,2025-01-03 04:00:00+00:00,,FVG_bearish,sell,21026.94,21038.83571,20991.25286,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
125,126,2025-01-06 16:35:00+00:00,2025-01-06 16:40:00+00:00,,FVG_bearish,sell,21554.415,21586.06143,21459.47571,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
126,127,2025-01-06 16:35:00+00:00,2025-01-06 16:40:00+00:00,,FVG_bearish,sell,21554.415,21586.06143,21459.47571,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
127,128,2025-01-07 07:25:00+00:00,2025-01-07 07:30:00+00:00,,FVG_bullish,buy,21516.385,21503.76714,21554.23857,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
128,129,2025-01-07 23:40:00+00:00,2025-01-07 23:45:00+00:00,,FVG_bullish,buy,21196.255,21177.26429,21253.22714,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
129,130,2025-01-08 04:55:00+00:00,2025-01-08 05:00:00+00:00,,FVG_bearish,sell,21231.44,21240.24071,21205.03786,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
